,LGA code,Local Government Area,2021 Population,2022 Population,Population Change 21-22,% Change 21-22,Area (km2),Population Density (persons/km2),Public Open Spaces
0,20660,Banyule,127370.0,127348.0,-22.0,0.0,62.5,2036.3,625
1,20910,Bayside,102328.0,102177.0,-151.0,-0.1,37.2,2745.9,131
2,21110,Boroondara,169789.0,169500.0,-289.0,-0.2,60.2,2816.7,576
3,21180,Brimbank,196631.0,193256.0,-3375.0,-1.7,123.4,1566.1,986
4,21450,Cardinia,119573.0,123104.0,3531.0,3.0,1282.6,96.0,1287
5,21610,Casey,369558.0,378831.0,9273.0,2.5,409.4,925.3,1853
6,21890,Darebin,150296.0,150483.0,187.0,0.1,53.5,2814.3,513
7,22170,Frankston,140824.0,141078.0,254.0,0.2,129.6,1088.6,1166
8,22310,Glen Eira,150638.0,151694.0,1056.0,0.7,38.7,3920.7,160
9,22670,Greater Dandenong,160100.0,159151.0,-949.0,-0.6,129.5,1228.5,626
10,23110,Hobsons Bay,92267.0,91803.0,-464.0,-0.5,64.2,1429.1,422
11,23270,Hume,246920.0,252987.0,6067.0,2.5,503.8,502.1,1333
12,23430,Kingston,159554.0,160005.0,451.0,0.3,91.4,1751.2,690
13,23670,Knox,160481.0,159465.0,-1016.0,-0.6,113.9,1399.9,862
14,24210,Manningham,125821.0,126491.0,670.0,0.5,113.3,1116.0,736
15,24330,Maribyrnong,86385.0,87526.0,1141.0,1.3,31.2,2803.0,307
16,24410,Maroondah,116075.0,115689.0,-386.0,-0.3,61.4,1883.9,660
17,24600,Melbourne,153110.0,159993.0,6883.0,4.5,37.5,4261.3,549
18,24650,Melton,181346.0,193155.0,11809.0,6.5,527.5,366.1,1055
19,24850,Mitchell,49712.0,51654.0,1942.0,3.9,2862.1,18.0,80
20,24970,Monash,192893.0,194877.0,1984.0,1.0,81.5,2391.6,549
21,25060,Moonee Valley,122950.0,123038.0,88.0,0.1,43.1,2852.2,526
22,25250,Moreland,173500.0,174735.0,1235.0,0.7,51.0,3429.4,809
23,25340,Mornington,170440.0,169663.0,-777.0,-0.5,724.0,234.3,1819
24,25710,Nillumbik,63450.0,63041.0,-409.0,-0.6,432.3,145.8,1007
25,25900,Port Phillip,103438.0,103990.0,552.0,0.5,20.6,5044.6,295
26,26350,Stonnington,106190.0,106418.0,228.0,0.2,25.7,4148.7,214
27,26980,Whitehorse,171077.0,172466.0,1389.0,0.8,64.3,2683.0,811
28,27070,Whittlesea,231831.0,236966.0,5135.0,2.2,489.7,483.9,1316
29,27260,Wyndham,296322.0,309125.0,12803.0,4.3,542.1,570.2,1056
30,27350,Yarra,91521.0,92301.0,780.0,0.9,19.5,4723.2,275
31,27450,Yarra Ranges,157421.0,157388.0,-33.0,0.0,2468.2,63.8,2376
